iter	Passed	Remaining
284	23861	59862
285	23970	59842
286	24059	59770
287	24149	59702
288	24273	59717
289	24423	59795
290	24524	59752
291	24616	59687
292	24711	59629
293	24796	59545
294	24904	59518
295	25062	59608
296	25153	59537
297	25246	59472
298	25348	59429
299	25470	59431
300	25592	59432
301	25670	59330
302	25739	59208
303	25831	59141
304	25936	59100
305	26012	58994
306	26110	58939
307	26205	58877
308	26306	58826
309	26396	58752
310	26454	58608
311	26551	58549
312	26619	58425
313	26667	58260
314	26745	58161
315	26822	58059
316	26940	58044
317	27063	58041
318	27149	57958
319	27240	57886
320	27369	57892
321	27477	57855
322	27532	57708
323	27584	57553
324	27647	57420
325	27729	57329
326	27791	57197
327	27884	57129
328	27972	57049
329	28067	56985
330	28140	56875
331	28227	56795
332	28297	56680
333	28388	56606
334	28514	56603
335	28595	56509
336	28705	56473
337	28841	56488
338	28964	56476
339	29025	56343
340	29166	56366
341	29229	56235
342	29268	56062
343	29320	55913
344	29393	55804
345	29485	55731
346	29598	55699
347	29733	55707
348	29830	55643
349	29934	55593
350	30031	55527
351	30116	55441
352	30242	55429
353	30391	55459
354	30467	55357
355	30597	55350
356	30717	55325
357	30791	55217
358	30839	55064
359	30902	54938
360	30980	54837
361	31029	54687
362	31106	54586
363	31211	54534
364	31275	54410
365	31389	54374
366	31494	54321
367	31603	54275
368	31675	54166
369	31778	54109
370	31881	54053
371	32010	54039
372	32147	54038
373	32235	53955
374	32340	53901
375	32441	53838
376	32515	53733
377	32604	53651
378	32700	53580
379	32815	53540
380	32907	53464
381	32957	53319
382	33026	53203
383	33091	53083
384	33163	52975
385	33212	52829
386	33303	52752
387	33389	52665
388	33511	52636
389	33624	52592
390	33704	52495
391	33781	52395
392	33849	52280
393	33920	52171
394	33975	52038
395	34087	51991
396	34188	51928
397	34344	51948
398	34439	51874
399	34572	51858
400	34669	51787
401	34773	51727
402	34864	51648
403	34947	51556
404	35049	51492
405	35166	51449
406	35264	51380
407	35341	51279
408	35462	51243
409	35583	51205
410	35690	51148
411	35809	51107
412	35923	51058
413	36044	51019
414	36176	50995
415	36252	50893
416	36310	50765
417	36404	50687
418	36496	50607
419	36576	50510
420	36707	50483
421	36812	50420
422	36889	50319
423	36989	50249
424	37106	50203
425	37215	50145
426	37330	50094
427	37457	50059
428	37552	49983
429	37606	49849
430	37679	49743
431	37726	49603
432	37818	49521
433	37898	49425
434	38026	49390
435	38100	49285
436	38177	49185
437	38232	49056
438	38342	48997
439	38429	48909
440	38482	48779
441	38531	48643
442	38580	48508
443	38655	48406
444	38738	48314
445	38821	48222
446	38898	48123
447	39017	48074
448	39124	48012
449	39199	47910
450	39293	47831
451	39368	47730
452	39467	47657
453	39555	47571
454	39648	47491
455	39738	47406
456	39790	47278
457	39882	47197
458	39981	47123
459	40094	47067
460	40163	46959
461	40255	46878
462	40327	46773
463	40420	46693
464	40534	46636
465	40592	46515
466	40709	46462
467	40858	46445
468	40961	46375
469	41067	46309
470	41162	46231
471	41244	46138
472	41329	46047
473	41423	45968
474	41500	45868
475	41625	45823
476	41747	45773
477	41838	45689
478	41942	45620
479	42021	45523
480	42081	45405
481	42196	45348
482	42313	45292
483	42441	45247
484	42515	45145
485	42585	45039
486	42648	44925
487	42711	44811
488	42794	44720
489	42877	44627
490	42966	44541
491	43036	44436
492	43109	44334
493	43211	44260
494	43266	44140
495	43334	44033
496	43395	43919
497	43474	43823
498	43582	43757
499	43717	43717
500	43804	43629
501	43932	43582
502	44062	43537
503	44169	43468
504	44282	43405
505	44404	43351
506	44484	43255
507	44552	43149
508	44621	43043
509	44727	42973
510	44803	42874
511	44868	42765
512	44952	42673
513	45012	42560
514	45066	42441
515	45135	42336
516	45220	42246
517	45315	42166
518	45368	42046
519	45415	41922
520	45462	41797
521	45505	41669
522	45571	41563
523	45632	41452
524	45674	41324
525	45716	41196
526	45762	41073
527	45806	40948
528	45857	40829
529	45914	40716
530	45959	40593
531	46022	40486
532	46081	40375
533	46145	40269
534	46209	40163
535	46268	40053
536	46325	39941
537	46374	39823
538	46431	39712
539	46494	39606
540	46600	39537
541	46678	39443
542	46727	39327
543	46772	39206
544	46840	39105
545	46897	38995
546	46973	38901
547	47022	38785
548	47074	38671
549	47151	38578
550	47218	38477
551	47269	38363
552	47322	38251
553	47369	38135
554	47415	38018
555	47468	37906
556	47542	37811
557	47594	37700
558	47650	37591
559	47696	37475
560	47771	37382
561	47837	37282
562	47890	37172
563	47961	37077
564	48048	36992
565	48154	36924
566	48241	36840
567	48299	36734
568	48372	36640
569	48440	36543
570	48526	36458
571	48593	36360
572	48655	36257
573	48768	36193
574	48860	36113
575	48912	36005
576	48958	35891
577	49034	35800
578	49115	35712
579	49205	35631
580	49257	35522
581	49306	35412
582	49354	35301
583	49411	35197
584	49466	35091
585	49533	34994
586	49601	34898
587	49651	34790
588	49702	34681
589	49771	34587
590	49847	34496
591	49925	34407
592	49983	34305
593	50062	34217
594	50168	34148
595	50227	34046
596	50282	33942
597	50327	33832
598	50385	33730
599	50446	33630
600	50519	33539
601	50619	33465
602	50705	33383
603	50799	33305
604	50920	33245
605	51007	33163
606	51159	33122
607	51246	33040
608	51319	32949
609	51421	32875
610	51543	32815
611	51638	32738
612	51725	32655
613	51808	32569
614	51912	32498
615	52012	32423
616	52093	32336
617	52167	32245
618	52291	32186
619	52361	32092
620	52465	32019
621	52565	31945
622	52664	31869
623	52764	31793
624	52842	31705
625	52919	31616
626	53002	31531
627	53122	31467
628	53201	31379
629	53280	31291
630	53376	31213
631	53453	31124
632	53530	31035
633	53632	30961
634	53705	30869
635	53821	30803
636	53897	30714
637	54011	30646
638	54134	30582
639	54261	30522
640	54364	30447
641	54438	30356
642	54515	30267
643	54603	30184
644	54669	30089
645	54782	30019
646	54895	29950
647	54983	29867
648	55095	29797
649	55202	29724
650	55265	29627
651	55352	29544
652	55468	29475
653	55577	29403
654	55666	29320
655	55750	29234
656	55833	29149
657	55931	29070
658	55984	28969
659	56024	28861
660	56131	28787
661	56234	28712
662	56363	28649
663	56451	28565
664	56496	28460
665	56543	28356
666	56592	28253
667	56698	28179
668	56775	28090
669	56820	27986
670	56864	27881
671	56944	27794
672	57040	27715
673	57132	27633
674	57204	27542
675	57269	27448
676	57356	27364
677	57460	27289
678	57551	27207
679	57649	27129
680	57717	27036
681	57789	26945
682	57844	26847
683	57886	26743
684	57947	26647
685	58010	26552
686	58095	26468
687	58242	26412
688	58355	26340
689	58470	26269
690	58596	26203
691	58698	26126
692	58785	26042
693	58885	25963
694	59006	25894
695	59093	25811
696	59149	25713
697	59236	25629
698	59331	25548
699	59389	25452
700	59490	25374
701	59609	25304
702	59709	25225
703	59812	25148
704	59909	25068
705	60033	24999
706	60133	24921
707	60202	24829
708	60285	24743
709	60348	24649
710	60443	24568
711	60501	24472
712	60641	24409
713	60780	24346
714	60914	24280
715	61027	24206
716	61168	24143
717	61225	24046
718	61322	23966
719	61402	23878
720	61470	23786
721	61601	23719
722	61751	23658
723	61855	23580
724	61974	23507
725	62080	23429
726	62190	23353
727	62279	23269
728	62372	23186
729	62468	23104
730	62607	23038
731	62671	22945
732	62729	22849
733	62805	22760
734	62901	22678
735	63020	22605
736	63105	22519
737	63216	22442
738	63336	22369
739	63449	22293
740	63542	22209
741	63634	22126
742	63789	22064
743	63879	21979
744	63973	21896
745	64015	21796
746	64115	21715
747	64190	21625
748	64263	21535
749	64348	21449
750	64471	21375
751	64589	21300
752	64682	21217
753	64814	21146
754	64926	21068
755	65005	20980
756	65076	20889
757	65178	20808
758	65264	20722
759	65361	20640
760	65461	20558
761	65508	20460
762	65585	20371
763	65667	20284
764	65774	20205
765	65875	20123
766	65961	20037
767	66087	19963
768	66214	19890
769	66266	19793
770	66339	19704
771	66393	19608
772	66497	19527
773	66547	19431
774	66634	19345
775	66724	19260
776	66811	19175
777	66885	19085
778	66981	19002
779	67051	18912
780	67156	18831
781	67205	18735
782	67312	18654
783	67375	18562
784	67470	18479
785	67561	18394
786	67624	18302
787	67759	18229
788	67854	18146
789	67936	18059
790	68025	17973
791	68083	17880
792	68152	17790
793	68257	17709
794	68366	17629
795	68486	17551
796	68594	17471
797	68709	17392
798	68818	17312
799	68891	17222
800	68949	17129
801	69073	17052
802	69180	16972
803	69250	16881
804	69321	16792
805	69393	16702
806	69508	16623
807	69614	16542
808	69734	16463
809	69854	16385
810	69976	16307
811	70074	16224
812	70167	16139
813	70236	16049
814	70329	15964
815	70416	15878
816	70494	15790
817	70625	15713
818	70768	15640
819	70922	15568
820	71045	15489
821	71164	15410
822	71247	15322
823	71325	15234
824	71417	15149
825	71495	15060
826	71635	14985
827	71712	14896
828	71800	14810
829	71870	14720
830	71936	14629
831	72021	14542
832	72113	14457
833	72210	14372
834	72292	14285
835	72342	14191
836	72447	14108
837	72582	14031
838	72692	13949
839	72765	13860
840	72833	13769
841	72894	13678
842	72960	13588
843	73039	13500
844	73118	13412
845	73195	13323
846	73282	13237
847	73378	13152
848	73515	13075
849	73626	12992
850	73688	12902
851	73767	12814
852	73816	12720
853	73859	12627
854	73897	12532
855	73946	12439
856	73992	12346
857	74030	12252
858	74070	12158
859	74113	12065
860	74166	11973
861	74216	11881
862	74276	11791
863	74344	11702
864	74390	11610
865	74428	11516
866	74469	11423
867	74512	11331
868	74557	11239
869	74608	11148
870	74665	11058
871	74706	10966
872	74749	10874
873	74788	10781
874	74881	10697
875	74926	10606
876	74986	10516
877	75035	10426
878	75085	10335
879	75130	10245
880	75177	10154
881	75231	10065
882	75291	9976
883	75400	9894
884	75459	9805
885	75505	9715
886	75556	9625
887	75623	9538
888	75677	9449
889	75725	9359
890	75767	9268
891	75816	9179
892	75862	9089
893	75914	9001
894	75968	8912
895	76014	8823
896	76060	8733
897	76105	8644
898	76151	8555
899	76209	8467
900	76269	8380
901	76356	8295
902	76434	8210
903	76487	8122
904	76526	8033
905	76587	7946
906	76643	7858
907	76700	7771
908	76770	7685
909	76834	7599
910	76899	7512
911	76961	7426
912	77007	7338
913	77051	7249
914	77101	7162
915	77148	7074
916	77205	6988
917	77265	6901
918	77333	6816
919	77381	6728
920	77445	6642
921	77541	6559
922	77631	6476
923	77710	6391
924	77780	6306
925	77857	6221
926	77941	6137
927	78011	6052
928	78067	5966
929	78157	5882
930	78245	5799
931	78314	5713
932	78379	5628
933	78439	5542
934	78541	5460
935	78664	5378
936	78711	5292
937	78758	5205
938	78850	5122
939	78975	5041
940	79027	4954
941	79086	4869
942	79148	4784
943	79202	4698
944	79258	4612
945	79356	4529
946	79492	4448
947	79579	4365
948	79641	4279
949	79694	4194
950	79738	4108
951	79791	4023
952	79867	3938
953	79918	3853
954	79971	3768
955	80038	3683
956	80102	3599
957	80175	3515
958	80245	3430
959	80293	3345
960	80382	3262
961	80460	3178
962	80524	3093
963	80593	3009
964	80638	2924
965	80713	2840
966	80769	2756
967	80847	2672
968	80904	2588
969	80958	2503
970	81017	2419
971	81086	2335
972	81183	2252
973	81261	2169
974	81344	2085
975	81404	2001
976	81469	1917
977	81535	1834
978	81584	1750
979	81660	1666
980	81777	1583
981	81833	1500
982	81912	1416
983	81962	1332
984	82029	1249
985	82086	1165
986	82193	1082
987	82267	999
988	82308	915
989	82361	831
990	82451	748
991	82530	665
992	82627	582
993	82727	499
994	82793	416
995	82831	332
996	82868	249
997	82941	166
998	83010	83
999	83104	0
