iter	PnLMetric
0	3.402387747
1	3.532202759
2	3.554343563
3	3.601525676
4	3.705211021
5	3.722793634
6	3.690950963
7	3.856672945
8	3.953384512
9	4.001529268
10	3.972217127
11	4.055205633
12	4.069634512
13	4.059230417
14	4.070582787
15	4.092190186
16	4.130128405
17	4.158675459
18	4.142818778
19	4.136845358
20	4.166563389
21	4.22029543
22	4.244334582
23	4.264611162
24	4.265913246
25	4.298362959
26	4.332558362
27	4.348145646
28	4.434779984
29	4.482545789
30	4.460449884
31	4.477123735
32	4.483883792
33	4.497095
34	4.511536451
35	4.542931925
36	4.569036451
37	4.584174742
38	4.585796509
39	4.618066623
40	4.619034655
41	4.648616193
42	4.657486523
43	4.662055489
44	4.675864756
45	4.677698448
46	4.70064385
47	4.673316264
48	4.742958865
49	4.742412888
50	4.744426177
51	4.761356853
52	4.759230416
53	4.782858289
54	4.785182284
55	4.80147
56	4.801137744
57	4.81342043
58	4.828871221
59	4.806674741
60	4.823856853
61	4.80784931
62	4.840563031
63	4.822678692
64	4.83297862
65	4.846642413
66	4.85511224
67	4.872375171
68	4.906364037
69	4.924368706
70	4.965731853
71	4.976829195
72	4.979938031
73	4.999562672
74	5.0192376
75	5.048544354
76	5.059018492
77	5.077301537
78	5.094930848
79	5.101638822
80	5.120967126
81	5.145703118
82	5.147129124
83	5.149031064
84	5.181116193
85	5.181250892
86	5.174959585
87	5.191069498
88	5.201405346
89	5.192969642
90	5.20253322
91	5.209620145
92	5.195099671
93	5.21552891
94	5.241910016
95	5.246953119
96	5.246868708
97	5.259776395
98	5.281726827
99	5.310677975
100	5.313941266
101	5.333183364
102	5.333959226
103	5.34157776
104	5.333190547
105	5.335913248
106	5.341028191
107	5.346328119
108	5.352795432
109	5.346193421
110	5.349219642
111	5.350176898
112	5.352723593
113	5.358168996
114	5.362312315
115	5.365907861
116	5.3766047
117	5.374205274
118	5.382393133
119	5.38331447
120	5.39886763
121	5.410994067
122	5.415428334
123	5.415661811
124	5.413817343
125	5.409099311
126	5.414190906
127	5.426717846
128	5.443280346
129	5.451811237
130	5.451552616
131	5.458036093
132	5.473066624
133	5.497197371
134	5.478190547
135	5.499605777
136	5.528197731
137	5.540227185
138	5.543494067
139	5.53454651
140	5.541663967
141	5.546263464
142	5.553427617
143	5.551514901
144	5.548950246
145	5.560430131
146	5.567842128
147	5.577802616
148	5.58375628
149	5.577852904
150	5.580537889
151	5.59206447
152	5.598190547
153	5.605638464
154	5.618073809
155	5.622012387
156	5.625773163
157	5.633328838
158	5.644239398
159	5.635166122
160	5.646913608
161	5.643815548
162	5.643926898
163	5.651216769
164	5.653036094
165	5.649092128
166	5.651056927
167	5.650561237
168	5.65381016
169	5.651146726
170	5.654287889
171	5.65095276
172	5.653697013
173	5.649833866
174	5.651324527
175	5.650482214
176	5.669751251
177	5.667883435
178	5.679217846
179	5.696583148
180	5.699663248
181	5.707443421
182	5.707411093
183	5.708878406
184	5.726109009
185	5.711910015
186	5.712254843
187	5.714575245
188	5.715528909
189	5.729869786
190	5.73578753
191	5.744465691
192	5.739514182
193	5.731092846
194	5.732427257
195	5.738388105
196	5.742684082
197	5.740884513
198	5.742500892
199	5.751186237
200	5.76818516
201	5.754796151
202	5.747416482
203	5.75755118
204	5.746012027
205	5.768039685
206	5.779005921
207	5.781992631
208	5.793679053
209	5.788971798
210	5.782292559
211	5.795999455
212	5.798179772
213	5.79878322
214	5.794296869
215	5.800816266
216	5.812206352
217	5.815277473
218	5.824291482
219	5.827231496
220	5.825115835
221	5.843224672
222	5.845460663
223	5.849093924
224	5.86114493
225	5.856186238
226	5.853901755
227	5.863881999
228	5.872973234
229	5.866701683
230	5.876829197
231	5.878811956
232	5.889056209
233	5.889772804
234	5.897876252
235	5.898122301
236	5.906902832
237	5.917245864
238	5.908853263
239	5.932960663
240	5.926637028
241	5.929129844
242	5.943558723
243	5.945252329
244	5.944620145
245	5.954313033
246	5.951044355
247	5.954621942
248	5.977112962
249	5.988926898
250	5.985148163
251	5.980595361
252	5.984603982
253	5.990672588
254	6.005992272
255	6.001001252
256	6.01655082
257	6.015133795
258	6.019063392
259	6.023379125
260	6.028188752
261	6.035737243
262	6.040004484
263	6.052303335
264	6.053339614
265	6.053858651
266	6.055708508
267	6.05927891
268	6.059779987
269	6.060699528
270	6.062068062
271	6.06149335
272	6.07460039
273	6.076958508
274	6.096482574
275	6.092874456
276	6.092078838
277	6.089463895
278	6.109372301
279	6.11509608
280	6.123881999
281	6.126299384
282	6.125843206
283	6.124090332
284	6.125406783
285	6.133697013
286	6.140367272
287	6.135916841
288	6.158612602
289	6.158012746
290	6.172881639
291	6.181566984
292	6.184445935
293	6.186566984
294	6.179248378
295	6.185433723
296	6.196818421
297	6.1900871
298	6.195000893
299	6.205559441
300	6.214593206
301	6.223815548
302	6.221877688
303	6.217157861
304	6.225419355
305	6.232118349
306	6.236827401
307	6.240717487
308	6.237527832
309	6.240767775
310	6.241073091
311	6.24217582
312	6.243494068
313	6.243720361
314	6.24287266
315	6.248415045
316	6.251396366
317	6.252705634
318	6.254735088
319	6.256822013
320	6.253382717
321	6.255733651
322	6.255733651
323	6.25796605
324	6.257957071
325	6.261130562
326	6.262191984
327	6.271067703
328	6.266685519
329	6.268177976
330	6.270404987
331	6.267556568
332	6.266936956
333	6.269476467
334	6.26927891
335	6.264751252
336	6.277957071
337	6.282254843
338	6.271784297
339	6.281493349
340	6.280548665
341	6.283567703
342	6.277808005
343	6.29768947
344	6.295408579
345	6.320722875
346	6.319253766
347	6.335843205
348	6.328068421
349	6.324621941
350	6.31497036
351	6.326563392
352	6.328901754
353	6.322235087
354	6.321019211
355	6.328373737
356	6.334268133
357	6.324884153
358	6.332044714
359	6.34061332
360	6.343998737
361	6.337614038
362	6.335383435
363	6.332772084
364	6.346807645
365	6.342890619
366	6.342752329
367	6.346051538
368	6.346701682
369	6.353587458
370	6.356902832
371	6.357694858
372	6.360913248
373	6.361110806
374	6.366281424
375	6.375178694
376	6.388474311
377	6.390940188
378	6.396486165
379	6.403353981
380	6.416078478
381	6.415683363
382	6.417339254
383	6.422673306
384	6.409298665
385	6.421847156
386	6.434672228
387	6.438978981
388	6.439866193
389	6.445828837
390	6.44347072
391	6.446651395
392	6.450658219
393	6.450079915
394	6.452308722
395	6.455575604
396	6.461094642
397	6.464963176
398	6.474298665
399	6.473319857
400	6.478619786
401	6.478799383
402	6.48247934
403	6.490270289
404	6.492772084
405	6.49654184
406	6.496166481
407	6.502174024
408	6.50359105
409	6.503140259
410	6.507098593
411	6.513903549
412	6.519670432
413	6.510279268
414	6.518646725
415	6.514251969
416	6.527551179
417	6.530356495
418	6.527075245
419	6.536732213
420	6.544460303
421	6.549040044
422	6.551646007
423	6.54934536
424	6.555756998
425	6.553883794
426	6.558716768
427	6.567439829
428	6.574074168
429	6.57558638
430	6.57688128
431	6.580026035
432	6.58997036
433	6.584451323
434	6.613064829
435	6.613064829
436	6.616653191
437	6.616311955
438	6.620728263
439	6.630451683
440	6.63422503
441	6.637335662
442	6.639165763
443	6.655105059
444	6.667502688
445	6.668425821
446	6.676495145
447	6.681049743
448	6.690701323
449	6.689356137
450	6.696911812
451	6.697702042
452	6.698463536
453	6.70690822
454	6.71407776
455	6.710410375
456	6.703465332
457	6.702721797
458	6.715871941
459	6.720536094
460	6.719745864
461	6.721947732
462	6.733203119
463	6.738890978
464	6.742409297
465	6.737161453
466	6.734925461
467	6.749589614
468	6.749154987
469	6.757716409
470	6.761879484
471	6.772906783
472	6.782922946
473	6.789016697
474	6.785541481
475	6.789196294
476	6.79103717
477	6.791669354
478	6.797605058
479	6.789882357
480	6.79201059
481	6.794471079
482	6.794952401
483	6.800088895
484	6.79735003
485	6.798711381
486	6.800994067
487	6.803025317
488	6.804706352
489	6.80300197
490	6.805616912
491	6.81107309
492	6.812438033
493	6.822669714
494	6.825142774
495	6.823589254
496	6.824932645
497	6.830564829
498	6.828551539
499	6.824571653
500	6.825895288
501	6.829438751
502	6.834447731
503	6.845031424
504	6.850333148
505	6.846998018
506	6.846575964
